year,month,hate_crime
1991,1,198
1991,2,204
1991,3,218
1991,4,233
1991,5,280
1991,6,261
1991,7,350
1991,8,359
1991,9,340
1991,10,360
1991,11,253
1991,12,207
1992,1,372
1992,2,365
1992,3,413
1992,4,409
1992,5,652
1992,6,391
1992,7,365
1992,8,388
1992,9,365
1992,10,390
1992,11,325
1992,12,293
1993,1,472
1993,2,419
1993,3,431
1993,4,487
1993,5,510
1993,6,453
1993,7,533
1993,8,493
1993,9,447
1993,10,454
1993,11,411
1993,12,335
1994,1,298
1994,2,302
1994,3,395
1994,4,361
1994,5,385
1994,6,321
1994,7,376
1994,8,383
1994,9,405
1994,10,422
1994,11,297
1994,12,253
1995,1,382
1995,2,410
1995,3,527
1995,4,436
1995,5,401
1995,6,511
1995,7,502
1995,8,520
1995,9,558
1995,10,640
1995,11,401
1995,12,360
1996,1,518
1996,2,495
1996,3,556
1996,4,541
1996,5,557
1996,6,590
1996,7,611
1996,8,553
1996,9,561
1996,10,527
1996,11,468
1996,12,362
1997,1,407
1997,2,401
1997,3,499
1997,4,496
1997,5,556
1997,6,489
1997,7,494
1997,8,497
1997,9,480
1997,10,522
1997,11,402
1997,12,348
1998,1,388
1998,2,400
1998,3,458
1998,4,425
1998,5,474
1998,6,486
1998,7,524
1998,8,435
1998,9,463
1998,10,472
1998,11,357
1998,12,296
1999,1,372
1999,2,412
1999,3,417
1999,4,516
1999,5,506
1999,6,437
1999,7,451
1999,8,455
1999,9,425
1999,10,493
1999,11,386
1999,12,309
2000,1,373
2000,2,421
2000,3,509
2000,4,508
2000,5,479
2000,6,428
2000,7,452
2000,8,493
2000,9,518
2000,10,493
2000,11,381
2000,12,297
2001,1,409
2001,2,351
2001,3,503
2001,4,523
2001,5,492
2001,6,489
2001,7,463
2001,8,456
2001,9,1329
2001,10,681
2001,11,411
2001,12,317
2002,1,366
2002,2,331
2002,3,442
2002,4,421
2002,5,433
2002,6,420
2002,7,410
2002,8,451
2002,9,465
2002,10,422
2002,11,338
2002,12,263
2003,1,346
2003,2,297
2003,3,456
2003,4,440
2003,5,448
2003,6,433
2003,7,428
2003,8,471
2003,9,439
2003,10,434
2003,11,392
2003,12,319
2004,1,326
2004,2,400
2004,3,470
2004,4,446
2004,5,513
2004,6,422
2004,7,465
2004,8,423
2004,9,411
2004,10,485
2004,11,387
2004,12,302
2005,1,370
2005,2,361
2005,3,419
2005,4,446
2005,5,458
2005,6,411
2005,7,439
2005,8,454
2005,9,425
2005,10,471
2005,11,390
2005,12,292
2006,1,355
2006,2,348
2006,3,405
2006,4,489
2006,5,484
2006,6,435
2006,7,471
2006,8,398
2006,9,443
2006,10,456
2006,11,396
2006,12,293
2007,1,350
2007,2,320
2007,3,387
2007,4,426
2007,5,467
2007,6,464
2007,7,467
2007,8,413
2007,9,461
2007,10,448
2007,11,373
2007,12,314
2008,1,368
2008,2,385
2008,3,423
2008,4,448
2008,5,473
2008,6,427
2008,7,463
2008,8,436
2008,9,464
2008,10,459
2008,11,411
2008,12,298
2009,1,283
2009,2,302
2009,3,342
2009,4,317
2009,5,367
2009,6,370
2009,7,352
2009,8,396
2009,9,378
2009,10,378
2009,11,274
2009,12,229
2010,1,279
2010,2,258
2010,3,370
2010,4,400
2010,5,366
2010,6,336
2010,7,365
2010,8,367
2010,9,387
2010,10,372
2010,11,273
2010,12,211
2011,1,270
2011,2,237
2011,3,318
2011,4,319
2011,5,351
2011,6,319
2011,7,326
2011,8,340
2011,9,334
2011,10,330
2011,11,282
2011,12,259
2012,1,294
2012,2,342
2012,3,355
2012,4,336
2012,5,394
2012,6,332
2012,7,352
2012,8,344
2012,9,337
2012,10,307
2012,11,247
2012,12,216
2013,1,240
2013,2,242
2013,3,273
2013,4,312
2013,5,333
2013,6,327
2013,7,386
2013,8,364
2013,9,314
2013,10,303
2013,11,257
2013,12,228
2014,1,206
2014,2,237
2014,3,239
2014,4,283
2014,5,318
2014,6,283
2014,7,297
2014,8,322
2014,9,294
2014,10,315
2014,11,229
2014,12,253
2015,1,229
2015,2,211
2015,3,255
2015,4,286
2015,5,332
2015,6,321
2015,7,339
2015,8,319
2015,9,292
2015,10,259
2015,11,270
2015,12,213
2016,1,218
2016,2,213
2016,3,268
2016,4,259
2016,5,269
2016,6,281
2016,7,364
2016,8,322
2016,9,337
2016,10,332
2016,11,425
2016,12,259
2017,1,269
2017,2,305
2017,3,338
2017,4,336
2017,5,385
2017,6,390
2017,7,354
2017,8,405
2017,9,366
2017,10,376
2017,11,342
2017,12,277
2018,1,265
2018,2,248
2018,3,305
2018,4,333
2018,5,357
2018,6,348
2018,7,425
2018,8,377
2018,9,365
2018,10,370
2018,11,316
2018,12,334
2019,1,280
2019,2,284
2019,3,349
2019,4,365
2019,5,388
2019,6,343
2019,7,380
2019,8,410
2019,9,398
2019,10,385
2019,11,353
2019,12,330
2020,1,295
2020,2,317
2020,3,372
2020,4,297
2020,5,503
2020,6,1119
2020,7,813
2020,8,694
2020,9,608
2020,10,613
2020,11,464
2020,12,361
