year,month,hate_crime
1991,1,9
1991,2,9
1991,3,15
1991,4,23
1991,5,17
1991,6,23
1991,7,25
1991,8,36
1991,9,36
1991,10,36
1991,11,21
1991,12,19
1992,1,17
1992,2,15
1992,3,20
1992,4,22
1992,5,31
1992,6,10
1992,7,21
1992,8,13
1992,9,12
1992,10,19
1992,11,27
1992,12,15
1993,1,21
1993,2,17
1993,3,19
1993,4,19
1993,5,25
1993,6,23
1993,7,22
1993,8,22
1993,9,31
1993,10,23
1993,11,17
1993,12,21
1994,1,15
1994,2,7
1994,3,18
1994,4,23
1994,5,23
1994,6,13
1994,7,19
1994,8,19
1994,9,16
1994,10,26
1994,11,17
1994,12,15
1995,1,25
1995,2,29
1995,3,25
1995,4,25
1995,5,29
1995,6,32
1995,7,31
1995,8,30
1995,9,35
1995,10,34
1995,11,25
1995,12,35
1996,1,39
1996,2,31
1996,3,27
1996,4,28
1996,5,26
1996,6,36
1996,7,19
1996,8,32
1996,9,31
1996,10,40
1996,11,22
1996,12,24
1997,1,25
1997,2,34
1997,3,32
1997,4,32
1997,5,36
1997,6,36
1997,7,43
1997,8,17
1997,9,22
1997,10,23
1997,11,22
1997,12,24
1998,1,24
1998,2,18
1998,3,21
1998,4,29
1998,5,33
1998,6,16
1998,7,32
1998,8,25
1998,9,22
1998,10,35
1998,11,20
1998,12,21
1999,1,24
1999,2,26
1999,3,26
1999,4,30
1999,5,34
1999,6,20
1999,7,23
1999,8,23
1999,9,32
1999,10,25
1999,11,26
1999,12,15
2000,1,17
2000,2,17
2000,3,33
2000,4,23
2000,5,27
2000,6,18
2000,7,22
2000,8,28
2000,9,19
2000,10,34
2000,11,22
2000,12,20
2001,1,28
2001,2,22
2001,3,24
2001,4,17
2001,5,26
2001,6,21
2001,7,19
2001,8,24
2001,9,39
2001,10,26
2001,11,21
2001,12,13
2002,1,17
2002,2,16
2002,3,24
2002,4,17
2002,5,10
2002,6,19
2002,7,21
2002,8,14
2002,9,28
2002,10,21
2002,11,15
2002,12,17
2003,1,12
2003,2,16
2003,3,29
2003,4,25
2003,5,14
2003,6,25
2003,7,27
2003,8,18
2003,9,20
2003,10,19
2003,11,16
2003,12,13
2004,1,15
2004,2,11
2004,3,21
2004,4,25
2004,5,18
2004,6,17
2004,7,28
2004,8,17
2004,9,13
2004,10,23
2004,11,23
2004,12,11
2005,1,21
2005,2,14
2005,3,23
2005,4,17
2005,5,23
2005,6,16
2005,7,16
2005,8,12
2005,9,16
2005,10,26
2005,11,13
2005,12,11
2006,1,11
2006,2,10
2006,3,14
2006,4,14
2006,5,20
2006,6,13
2006,7,19
2006,8,22
2006,9,17
2006,10,13
2006,11,14
2006,12,17
2007,1,14
2007,2,9
2007,3,18
2007,4,26
2007,5,17
2007,6,21
2007,7,12
2007,8,21
2007,9,12
2007,10,14
2007,11,18
2007,12,8
2008,1,13
2008,2,7
2008,3,13
2008,4,15
2008,5,13
2008,6,14
2008,7,16
2008,8,10
2008,9,8
2008,10,14
2008,11,13
2008,12,7
2009,1,12
2009,2,11
2009,3,8
2009,4,8
2009,5,11
2009,6,14
2009,7,14
2009,8,14
2009,9,9
2009,10,12
2009,11,8
2009,12,6
2010,1,17
2010,2,6
2010,3,18
2010,4,13
2010,5,7
2010,6,15
2010,7,16
2010,8,15
2010,9,14
2010,10,10
2010,11,11
2010,12,8
2011,1,6
2011,2,11
2011,3,18
2011,4,15
2011,5,13
2011,6,14
2011,7,3
2011,8,9
2011,9,10
2011,10,9
2011,11,19
2011,12,10
2012,1,13
2012,2,18
2012,3,12
2012,4,13
2012,5,17
2012,6,17
2012,7,7
2012,8,5
2012,9,14
2012,10,7
2012,11,10
2012,12,11
2013,1,13
2013,2,10
2013,3,7
2013,4,12
2013,5,16
2013,6,17
2013,7,12
2013,8,10
2013,9,8
2013,10,12
2013,11,8
2013,12,9
2014,1,13
2014,2,32
2014,3,10
2014,4,8
2014,5,12
2014,6,8
2014,7,10
2014,8,8
2014,9,10
2014,10,10
2014,11,11
2014,12,7
2015,1,7
2015,2,12
2015,3,10
2015,4,12
2015,5,13
2015,6,15
2015,7,8
2015,8,9
2015,9,8
2015,10,5
2015,11,7
2015,12,8
2016,1,7
2016,2,8
2016,3,5
2016,4,7
2016,5,10
2016,6,14
2016,7,9
2016,8,10
2016,9,8
2016,10,7
2016,11,16
2016,12,12
2017,1,6
2017,2,14
2017,3,12
2017,4,8
2017,5,13
2017,6,10
2017,7,6
2017,8,17
2017,9,6
2017,10,11
2017,11,10
2017,12,15
2018,1,8
2018,2,10
2018,3,8
2018,4,11
2018,5,10
2018,6,12
2018,7,19
2018,8,10
2018,9,17
2018,10,13
2018,11,13
2018,12,18
2019,1,10
2019,2,12
2019,3,17
2019,4,19
2019,5,16
2019,6,14
2019,7,18
2019,8,16
2019,9,13
2019,10,16
2019,11,19
2019,12,18
2020,1,16
2020,2,12
2020,3,51
2020,4,50
2020,5,38
2020,6,37
2020,7,24
2020,8,19
2020,9,22
2020,10,23
2020,11,15
2020,12,16
