year,month,hate_crime
1991,1,88
1991,2,103
1991,3,116
1991,4,107
1991,5,141
1991,6,115
1991,7,180
1991,8,178
1991,9,170
1991,10,189
1991,11,138
1991,12,99
1992,1,197
1992,2,201
1992,3,210
1992,4,186
1992,5,254
1992,6,185
1992,7,171
1992,8,207
1992,9,189
1992,10,197
1992,11,168
1992,12,147
1993,1,245
1993,2,222
1993,3,213
1993,4,253
1993,5,276
1993,6,215
1993,7,257
1993,8,282
1993,9,206
1993,10,253
1993,11,214
1993,12,187
1994,1,159
1994,2,148
1994,3,199
1994,4,185
1994,5,186
1994,6,183
1994,7,198
1994,8,214
1994,9,195
1994,10,219
1994,11,153
1994,12,139
1995,1,199
1995,2,224
1995,3,262
1995,4,226
1995,5,208
1995,6,274
1995,7,255
1995,8,289
1995,9,309
1995,10,349
1995,11,219
1995,12,175
1996,1,285
1996,2,268
1996,3,332
1996,4,303
1996,5,313
1996,6,341
1996,7,377
1996,8,325
1996,9,327
1996,10,309
1996,11,293
1996,12,203
1997,1,234
1997,2,208
1997,3,297
1997,4,273
1997,5,304
1997,6,280
1997,7,256
1997,8,284
1997,9,292
1997,10,313
1997,11,220
1997,12,185
1998,1,202
1998,2,238
1998,3,261
1998,4,226
1998,5,272
1998,6,299
1998,7,284
1998,8,245
1998,9,281
1998,10,272
1998,11,202
1998,12,184
1999,1,216
1999,2,231
1999,3,262
1999,4,272
1999,5,280
1999,6,269
1999,7,279
1999,8,253
1999,9,234
1999,10,282
1999,11,218
1999,12,188
2000,1,226
2000,2,246
2000,3,288
2000,4,263
2000,5,248
2000,6,233
2000,7,246
2000,8,261
2000,9,283
2000,10,258
2000,11,218
2000,12,167
2001,1,229
2001,2,208
2001,3,303
2001,4,299
2001,5,269
2001,6,274
2001,7,263
2001,8,239
2001,9,271
2001,10,218
2001,11,191
2001,12,156
2002,1,193
2002,2,173
2002,3,242
2002,4,235
2002,5,222
2002,6,226
2002,7,223
2002,8,231
2002,9,217
2002,10,230
2002,11,181
2002,12,133
2003,1,185
2003,2,155
2003,3,195
2003,4,226
2003,5,244
2003,6,236
2003,7,225
2003,8,268
2003,9,229
2003,10,255
2003,11,197
2003,12,157
2004,1,183
2004,2,217
2004,3,271
2004,4,251
2004,5,270
2004,6,211
2004,7,238
2004,8,231
2004,9,231
2004,10,289
2004,11,206
2004,12,160
2005,1,209
2005,2,182
2005,3,225
2005,4,254
2005,5,233
2005,6,227
2005,7,236
2005,8,251
2005,9,238
2005,10,247
2005,11,212
2005,12,155
2006,1,178
2006,2,188
2006,3,219
2006,4,251
2006,5,235
2006,6,217
2006,7,255
2006,8,223
2006,9,229
2006,10,254
2006,11,210
2006,12,172
2007,1,188
2007,2,161
2007,3,207
2007,4,235
2007,5,237
2007,6,253
2007,7,241
2007,8,229
2007,9,255
2007,10,268
2007,11,208
2007,12,191
2008,1,193
2008,2,223
2008,3,245
2008,4,262
2008,5,268
2008,6,240
2008,7,256
2008,8,265
2008,9,282
2008,10,287
2008,11,245
2008,12,185
2009,1,172
2009,2,175
2009,3,195
2009,4,189
2009,5,211
2009,6,213
2009,7,199
2009,8,231
2009,9,217
2009,10,211
2009,11,160
2009,12,124
2010,1,137
2010,2,161
2010,3,210
2010,4,224
2010,5,200
2010,6,196
2010,7,204
2010,8,191
2010,9,220
2010,10,190
2010,11,154
2010,12,115
2011,1,158
2011,2,137
2011,3,184
2011,4,187
2011,5,198
2011,6,172
2011,7,192
2011,8,209
2011,9,187
2011,10,174
2011,11,159
2011,12,142
2012,1,159
2012,2,171
2012,3,206
2012,4,188
2012,5,210
2012,6,159
2012,7,200
2012,8,206
2012,9,162
2012,10,164
2012,11,124
2012,12,110
2013,1,135
2013,2,129
2013,3,162
2013,4,173
2013,5,177
2013,6,180
2013,7,203
2013,8,199
2013,9,159
2013,10,155
2013,11,137
2013,12,99
2014,1,112
2014,2,124
2014,3,124
2014,4,142
2014,5,156
2014,6,139
2014,7,148
2014,8,167
2014,9,142
2014,10,161
2014,11,114
2014,12,118
2015,1,125
2015,2,112
2015,3,131
2015,4,157
2015,5,166
2015,6,172
2015,7,181
2015,8,175
2015,9,152
2015,10,141
2015,11,141
2015,12,103
2016,1,102
2016,2,102
2016,3,151
2016,4,136
2016,5,132
2016,6,152
2016,7,151
2016,8,172
2016,9,177
2016,10,169
2016,11,196
2016,12,131
2017,1,118
2017,2,139
2017,3,155
2017,4,174
2017,5,200
2017,6,207
2017,7,185
2017,8,205
2017,9,194
2017,10,203
2017,11,163
2017,12,116
2018,1,129
2018,2,132
2018,3,144
2018,4,173
2018,5,166
2018,6,175
2018,7,187
2018,8,178
2018,9,159
2018,10,178
2018,11,156
2018,12,170
2019,1,146
2019,2,156
2019,3,167
2019,4,192
2019,5,195
2019,6,178
2019,7,198
2019,8,209
2019,9,216
2019,10,184
2019,11,175
2019,12,165
2020,1,150
2020,2,187
2020,3,164
2020,4,130
2020,5,237
2020,6,693
2020,7,487
2020,8,397
2020,9,318
2020,10,324
2020,11,258
2020,12,176
