year,month,hate_crime
1991,1,102
1991,2,81
1991,3,69
1991,4,76
1991,5,90
1991,6,100
1991,7,111
1991,8,152
1991,9,144
1991,10,150
1991,11,146
1991,12,97
1992,1,123
1992,2,149
1992,3,202
1992,4,199
1992,5,178
1992,6,155
1992,7,127
1992,8,173
1992,9,113
1992,10,179
1992,11,200
1992,12,140
1993,1,162
1993,2,176
1993,3,140
1993,4,198
1993,5,180
1993,6,196
1993,7,185
1993,8,187
1993,9,177
1993,10,206
1993,11,205
1993,12,144
1994,1,108
1994,2,153
1994,3,218
1994,4,180
1994,5,115
1994,6,140
1994,7,133
1994,8,150
1994,9,147
1994,10,163
1994,11,121
1994,12,126
1995,1,202
1995,2,162
1995,3,183
1995,4,235
1995,5,164
1995,6,204
1995,7,217
1995,8,171
1995,9,196
1995,10,216
1995,11,184
1995,12,162
1996,1,174
1996,2,185
1996,3,200
1996,4,245
1996,5,207
1996,6,202
1996,7,204
1996,8,210
1996,9,215
1996,10,234
1996,11,183
1996,12,186
1997,1,151
1997,2,198
1997,3,241
1997,4,220
1997,5,238
1997,6,225
1997,7,224
1997,8,185
1997,9,223
1997,10,247
1997,11,186
1997,12,174
1998,1,218
1998,2,206
1998,3,207
1998,4,244
1998,5,243
1998,6,210
1998,7,216
1998,8,232
1998,9,212
1998,10,312
1998,11,212
1998,12,207
1999,1,193
1999,2,233
1999,3,219
1999,4,262
1999,5,235
1999,6,201
1999,7,256
1999,8,262
1999,9,264
1999,10,227
1999,11,210
1999,12,197
2000,1,193
2000,2,216
2000,3,248
2000,4,250
2000,5,226
2000,6,235
2000,7,220
2000,8,212
2000,9,243
2000,10,398
2000,11,234
2000,12,186
2001,1,216
2001,2,195
2001,3,222
2001,4,273
2001,5,244
2001,6,266
2001,7,222
2001,8,255
2001,9,636
2001,10,366
2001,11,210
2001,12,193
2002,1,179
2002,2,186
2002,3,263
2002,4,290
2002,5,237
2002,6,248
2002,7,241
2002,8,186
2002,9,297
2002,10,230
2002,11,201
2002,12,162
2003,1,182
2003,2,194
2003,3,227
2003,4,238
2003,5,255
2003,6,218
2003,7,216
2003,8,206
2003,9,244
2003,10,258
2003,11,232
2003,12,168
2004,1,195
2004,2,229
2004,3,213
2004,4,264
2004,5,231
2004,6,236
2004,7,208
2004,8,208
2004,9,240
2004,10,232
2004,11,199
2004,12,173
2005,1,177
2005,2,189
2005,3,229
2005,4,250
2005,5,256
2005,6,202
2005,7,197
2005,8,199
2005,9,202
2005,10,230
2005,11,183
2005,12,158
2006,1,194
2006,2,187
2006,3,232
2006,4,241
2006,5,220
2006,6,247
2006,7,273
2006,8,243
2006,9,245
2006,10,241
2006,11,215
2006,12,202
2007,1,200
2007,2,162
2007,3,243
2007,4,252
2007,5,251
2007,6,219
2007,7,219
2007,8,243
2007,9,287
2007,10,290
2007,11,199
2007,12,167
2008,1,209
2008,2,229
2008,3,270
2008,4,250
2008,5,272
2008,6,262
2008,7,251
2008,8,257
2008,9,242
2008,10,277
2008,11,275
2008,12,187
2009,1,196
2009,2,188
2009,3,223
2009,4,232
2009,5,247
2009,6,220
2009,7,204
2009,8,243
2009,9,215
2009,10,250
2009,11,225
2009,12,176
2010,1,195
2010,2,179
2010,3,229
2010,4,263
2010,5,248
2010,6,202
2010,7,193
2010,8,251
2010,9,270
2010,10,263
2010,11,201
2010,12,151
2011,1,168
2011,2,148
2011,3,200
2011,4,225
2011,5,242
2011,6,235
2011,7,233
2011,8,235
2011,9,220
2011,10,256
2011,11,200
2011,12,243
2012,1,266
2012,2,201
2012,3,234
2012,4,240
2012,5,233
2012,6,239
2012,7,259
2012,8,223
2012,9,253
2012,10,210
2012,11,218
2012,12,155
2013,1,164
2013,2,158
2013,3,209
2013,4,217
2013,5,235
2013,6,246
2013,7,218
2013,8,220
2013,9,204
2013,10,223
2013,11,186
2013,12,179
2014,1,120
2014,2,151
2014,3,202
2014,4,206
2014,5,201
2014,6,227
2014,7,215
2014,8,240
2014,9,212
2014,10,240
2014,11,153
2014,12,139
2015,1,180
2015,2,153
2015,3,183
2015,4,228
2015,5,231
2015,6,240
2015,7,254
2015,8,223
2015,9,189
2015,10,214
2015,11,195
2015,12,246
2016,1,163
2016,2,170
2016,3,222
2016,4,228
2016,5,220
2016,6,255
2016,7,243
2016,8,197
2016,9,195
2016,10,228
2016,11,322
2016,12,226
2017,1,278
2017,2,267
2017,3,303
2017,4,233
2017,5,272
2017,6,259
2017,7,258
2017,8,271
2017,9,274
2017,10,256
2017,11,227
2017,12,195
2018,1,213
2018,2,245
2018,3,235
2018,4,212
2018,5,287
2018,6,274
2018,7,230
2018,8,265
2018,9,266
2018,10,315
2018,11,266
2018,12,245
2019,1,224
2019,2,187
2019,3,294
2019,4,264
2019,5,312
2019,6,329
2019,7,303
2019,8,287
2019,9,303
2019,10,314
2019,11,244
2019,12,282
2020,1,310
2020,2,295
2020,3,245
2020,4,196
2020,5,247
2020,6,301
2020,7,313
2020,8,350
2020,9,301
2020,10,352
2020,11,291
2020,12,269
